
[[" ", "M", " ", "M", " "], 
["M", "A", "M", "A", "M"], 
[" ", "M", " ", "M", " "], 
["M", "E", "M", "A", "M"], 
[" ", "M", " ", "M", " "]]

[[" ", "M", " ", "M", " "], 
["M", "A", "M", "A", "M"], 
[" ", "M", " ", "M", " "], 
["M", "E", "M", "A", "M"], 
[" ", "M", " ", "M", " "]]

[[" ", "M", " ", "M", " "], 
["M", "A", "M", "A", "M"], 
[" ", "M", " ", "M", " "], 
["M", "A", "M", "A", "M"], 
[" ", "M", " ", "M", " "]]

[[" ", "M", " ", "M", " "], 
["M", "A", "M", "A", "M"], 
[" ", "M", " ", "M", " "], 
["M", "A", "M", "E", "M"], 
[" ", "M", " ", "M", " "]]



[[" ", "M", " ", "M", " "], 
["M",   ", "M", "E", "M"], 
[" ", "T", " ", "M", " "], 
["M", "T", "T", "T", "T"], 
[" ", "M", " ", "M", " "]]

[[" ", "M", " ", "M", " "], 
["M", "T", "M", "E", "M"], 
[" ", "T", " ", "M", " "], 
["M", "T", "M", "E", "M"], 
[" ", "M", " ", "M", " "]]

[[" ", "M", " ", "M", " "], 
["M", "A", "M", "A", "M"], 
[" ", "M", " ", "M", " "], 
["M", "A", "M", "E", "M"], 
[" ", "M", " ", "M", " "]]

[[" ", "M", " ", "M", " "], 
["M", "E", "M", "T", "M"], 
[" ", "M", " ", "M", " "], 
["T", "A", "M", "E", "M"], 
[" ", "M", " ", "M", " "]]



[[" ", "M", " ", "M", " "], 
["M", "E", "M", "E", "M"], 
[" ", "M", " ", "M", " "], 
["M", "A", "M", "A", "M"], 
[" ", "M", " ", "M", " "]]

[[" ", "M", " ", "M", " "], 
["M", "E", "M", "A", "M"], 
[" ", "M", " ", "M", " "], 
["M", "A", "M", "A", "M"], 
[" ", "M", " ", "M", " "]]

[[" ", "M", " ", "M", " "], 
["M", "E", "M", "T", "M"], 
[" ", "M", " ", "M", " "], 
["M", "A", "M", "E", "M"], 
[" ", "M", " ", "M", " "]]

[[" ", "M", " ", "M", " "], 
["M", "E", "M", "A", "M"], 
[" ", "M", " ", "M", " "], 
["M", "A", "M", "A", "M"], 
[" ", "M", " ", "M", " "]]
